Name,Longitude,Latitude
Lin 2 Halte (Bus Stop),-7.3066968,112.6637871
SPBU Lidah Wetan [notice],-7.306826,112.665518
SMPN 28 [notice],-7.306968,112.665484
SMPN 28 [notice],-7.3083956,112.6721141
Wisata Bukit Mas [notice],-7.3084821,112.6720431
Wisata Bukit Mas [notice],-7.3067536,112.6742109
Halte Babatan 1 [notice],-7.3067616,112.6744107
Halte Babatan 2 [notice],-7.2983343,112.6753578
Halte UNESA,-7.2983276,112.6757138
Halte UNESA 2,-7.29275,112.67608
Halte Graha Family,-7.2925979,112.675693
Halte Graha FamiliÂ ,-7.28835,112.67723
Halte PTC,-7.2887904,112.6776844
Halte PTC 2,-7.28473,112.68105
Halte Jono Soewojo,-7.2849398,112.6813879
Halte Jono Soewojo 2,-7.28193,112.68552
Halte Patung Kuda 1,-7.28304,112.68609
Halte Patung Kuda 2,-7.285591,112.698012
Halte Putat Gede,-7.285881,112.698009
Halte Putat Gede 2,-7.28451,112.69234
Halte Pradah Kali Kendal,-7.28429,112.69276
Halte Darmo Permai,-7.288513,112.708244
Halte TMP Surabaya,-7.2897734,112.7110819
Halte Taman Makam Pahlawan 2,-7.2888828,112.7084498
[CLOSED] Taman Makam Pahlawan (Old),-7.2907022,112.7150014
Park & Ride Mayjend Sungkono,-7.2913882,112.7175366
Halte Darmo Park,-7.291686,112.71753
Halte Darmo Park 2,-7.29181,112.720885
Halte Gedung Juang,-7.2920187,112.7208844
Halte Mayjend Sungkono,-7.2924452,112.729106
Halte Indragiri,-7.2926101,112.7286139
Halte KPU,-7.2933287,112.7305616
Halte Adityawarman,-7.29108,112.73453
Halte Kutai 1,-7.29125,112.73468
Halte Kutai 2,-7.2898786,112.7379414
Halte Bengawan 2,-7.2897152,112.7381868
Halte Bengawan 1,-7.28715,112.7393
Halte RS Darmo,-7.283475,112.740276
Halte Santa Maria (Raya Darmo),-7.277945,112.741043
Halte Pandegiling,-7.2739349,112.7421892
Halte Urip Sumoharjo,-7.271813,112.741462
Halte Basra (Basuki Rahmat),-7.2647258,112.7411374
Halte Kaliasin (Basuki Rahmat; Right Side),-7.2629239,112.7418576
Halte Simpang Dukuh,-7.263831,112.744295
Halte Gubernur Suryo,-7.266296,112.745081
Halte Panglima Sudirman,-7.269589,112.743836
Halte Sono Kembang,-7.2609284,112.7477735
Halte Balai Kota,-7.2629663,112.750419
Halte Grand City,-7.2653197,112.7477184
Halte Pemuda,-7.2645038,112.7543133
Halte Moestopo,-7.265285,112.75514
Halte SMAN 4,-7.2688609,112.7565749
Halte RSUD Dr Soetomo,-7.267493,112.756376
Halte Lapangan Hockey Surabaya,-7.27372,112.75644
Halte UNAIR (Kampus B),-7.2734775,112.7562211
Halte Gubeng Airlangga,-7.2787119,112.7595175
Halte Kertajaya 1,-7.2790646,112.7595126
Halte Kertajaya 2,-7.279335,112.76369
Halte Samsat Manyar Kertoarjo,-7.279692,112.763536
Halte Gramedia Manyar,-7.28033,112.77692
Halte KONI Jatim,-7.2806951,112.7757305
Halte Klampis,-7.28025,112.78194
Halte Kertajaya Indah,-7.2805467,112.7825065
Halte Manyar Kertoadi (Halte Kertajaya Indah 2),-7.2791868,112.7898258
Halte Bundaran ITS Trans Semanggi,-7.2795197,112.7900028
Halte ITS,-7.2756356,112.7930628
Halte PENS 1,-7.2757488,112.7935432
Halte PENS,-7.2752296,112.801114
Halte Kejawan Putih,-7.2834473,112.7400055
Halte Gozco,-7.277988,112.7413039